path,ext,size,modified_utc,last_git_utc,decision,reasons
config/ai_models.yaml,.yaml,47070,2025-08-18 22:54:44,2025-08-23 09:18:45,archive,stale:58d>=45d
config/guidance/interaction_guidance.override.yaml,.yaml,340,2025-08-22 21:56:13,2025-08-23 09:18:45,archive,stale:58d>=45d
config/guidance/interaction_guidance.yaml,.yaml,511,2025-08-22 16:56:03,2025-08-23 09:18:45,archive,stale:58d>=45d
config/leb.yaml,.yaml,162,2025-08-29 19:29:57,2025-08-31 16:58:08,archive,stale:49d>=45d
config/master_project_tracker.yaml,.yaml,1383,2025-08-18 10:21:05,2025-08-18 19:42:05,archive,stale:62d>=45d
config/memory/include_rules.yaml,.yaml,239,2025-08-22 13:42:29,2025-08-23 09:18:45,archive,stale:58d>=45d
config/phone/phone.yaml,.yaml,103,2025-08-23 10:47:21,2025-08-23 23:28:49,archive,stale:57d>=45d
config/phone_approvals.sample.yaml,.yaml,200,2025-08-23 23:28:48,2025-08-23 23:28:49,archive,stale:57d>=45d
config/phone_approvals.yaml,.yaml,54,2025-08-23 22:38:26,,archive,no_git_history_mtime_used;stale:57d>=45d
config/policies/role_policies.yaml,.yaml,852,2025-08-22 16:22:50,2025-08-23 09:18:45,archive,stale:58d>=45d
config/project_config.yaml,.yaml,775,2025-08-18 09:18:20,2025-08-18 10:08:09,archive,stale:63d>=45d
config/project_plan.yaml,.yaml,1003,2025-08-18 10:20:32,2025-08-18 19:42:05,archive,stale:62d>=45d
config/projects/persistent_assistant_v3.yaml,.yaml,11855,2025-08-22 15:30:35,2025-08-23 09:18:45,archive,stale:58d>=45d
config/provider_pricing_overrides.yaml,.yaml,804,2025-08-21 09:50:31,2025-08-23 09:18:45,archive,stale:58d>=45d
config/providers/openai.yaml,.yaml,246,2025-08-18 22:30:23,2025-08-23 09:18:45,archive,stale:58d>=45d
config/session.yaml,.yaml,131,2025-08-18 20:57:07,2025-08-23 09:18:45,archive,stale:58d>=45d
gui/dialogs/project_selector.py,.py,2906,2025-08-18 20:50:26,2025-08-18 22:24:43,archive,stale:62d>=45d
gui/main_window.py,.py,10436,2025-08-23 06:16:41,2025-08-23 09:18:45,archive,stale:58d>=45d
gui/run_window.py,.py,2344,2025-08-22 16:56:03,2025-08-23 09:18:45,archive,stale:58d>=45d
gui/tabs/chat_tab.py,.py,3459,2025-08-22 16:22:50,2025-08-23 09:18:45,archive,stale:58d>=45d
gui/tabs/input_tab.py,.py,2067,2025-08-18 15:35:37,2025-08-18 19:42:05,archive,stale:62d>=45d
gui/tabs/plan_tracker_tab.py,.py,4929,2025-08-22 16:01:58,2025-08-23 09:18:45,archive,stale:58d>=45d
gui/tabs/plan_tracker_tab_compat.py,.py,1071,2025-08-23 06:08:57,2025-08-23 09:18:45,archive,pattern:(^|/).*_compat\.py$;stale:58d>=45d
gui/tabs/plan_tree_tab.py,.py,3149,2025-08-23 06:16:41,2025-08-23 09:18:45,archive,stale:58d>=45d
