id,title,phase,status,active,sources
TRACKER.1,Generate project plan from tracker file,0,pending,False,C:/_Repos/PersistentAssistant/config/master_project_tracker.yaml
PLAN.1,Load and display a stepwise project plan in GUI,0,pending,False,C:/_Repos/PersistentAssistant/config/master_project_tracker.yaml
AI.1,Connect to ChatGPT (initially via embedded browser),1,pending,False,C:/_Repos/PersistentAssistant/config/master_project_tracker.yaml
GUI.1,Create minimal Qt GUI with tabbed input/output interface,1,pending,False,C:/_Repos/PersistentAssistant/config/master_project_tracker.yaml
LOG.1,"Persist all interactions (raw input, prompt, response) to disk",1,pending,False,C:/_Repos/PersistentAssistant/config/master_project_tracker.yaml
AI.2,Migrate to OpenAI API after legacy code analysis and memory integration,2,pending,False,C:/_Repos/PersistentAssistant/config/master_project_tracker.yaml
INTROSPECT.1,List files and summarize function inputs/outputs,3,pending,False,C:/_Repos/PersistentAssistant/config/master_project_tracker.yaml
2.9.b,(optional) git pre-commit regenerates deep inventory,R1,pending,False,C:/_Repos/PersistentAssistant/project/plans/plan_texts_full.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.normalized.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
.github/workflows/ci.yml mirrors local command,.github/workflows/ci.yml mirrors local command,R1,pending,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.normalized.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
0.2.a,.gitignore and README present,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/plan_texts_full.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.normalized.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
0.1,0.1,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
0.2,0.2,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
0.3,0.3,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.1,1.1,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.10,1.10,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.11,1.11,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.12,1.12,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.13,1.13,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.14,1.14,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.15,1.15,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.16,1.16,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.17,1.17,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.2,1.2,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.3,1.3,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.4,1.4,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.5,1.5,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.6,1.6,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.7,1.7,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.8,1.8,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
1.9,1.9,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
2.1,2.1,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
2.10,2.10,R1,pending,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
2.2,2.2,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
2.3,2.3,R1,complete,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
2.4,2.4,R1,pending,False,C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508191814.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508230651.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260736.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3 - 202508260753.yaml; C:/_Repos/PersistentAssistant/project/plans/project_plan_v3.pre_normalized.yaml
